arm,pair,b_id,slug,file_hit,sym_hit,file_frac,sym_frac,jaccard,n_gold_files,n_gold_syms
null,-,django__django-13658,django,True,False,1.0,0.0,0.006396588486140725,1,1
null,-,django__django-13670,django,False,False,0.0,0.0,0.010752688172043012,1,1
null,-,django__django-13741,django,False,False,0.0,0.0,0.037578288100208766,1,6
null,-,django__django-13794,django,False,False,0.0,,0.004301075268817204,1,0
null,-,django__django-13807,django,True,False,1.0,0.0,0.00425531914893617,1,1
null,-,django__django-13809,django,False,False,0.0,0.0,0.014830508474576272,1,2
null,-,django__django-13810,django,True,False,1.0,0.0,0.002145922746781116,1,1
null,-,django__django-13821,django,True,False,1.0,0.0,0.004282655246252677,1,1
null,-,django__django-13837,django,False,False,0.0,0.0,0.02286902286902287,1,1
null,-,django__django-13925,django,True,False,1.0,0.0,0.01282051282051282,1,1
null,-,django__django-13933,django,True,False,1.0,0.0,0.0064516129032258064,1,1
null,-,django__django-13964,django,True,False,1.0,0.0,0.00646551724137931,1,1
null,-,django__django-14007,django,False,False,0.0,0.0,0.014553014553014554,1,1
null,-,django__django-14011,django,True,False,0.5,0.0,0.039014373716632446,2,6
null,-,django__django-14017,django,False,False,0.0,,0.00646551724137931,1,0
null,-,django__django-14034,django,False,False,0.0,0.0,0.02494802494802495,1,1
null,-,django__django-14053,django,False,False,0.0,0.0,0.028688524590163935,1,2
null,-,django__django-14089,django,False,False,0.0,0.0,0.004310344827586207,1,1
null,-,django__django-14122,django,False,False,0.0,0.0,0.014644351464435146,1,1
null,-,django__django-14140,django,False,True,0.0,1.0,0.01282051282051282,1,1
null,-,django__django-14155,django,False,False,0.0,,0.010615711252653927,1,0
null,-,django__django-14170,django,False,False,0.0,0.0,0.026970954356846474,2,4
null,-,django__django-14238,django,True,False,1.0,,0.00646551724137931,1,0
null,-,django__django-14311,django,False,False,0.0,0.0,0.010706638115631691,1,1
null,-,django__django-14315,django,False,False,0.0,0.0,0.0064794816414686825,2,1
null,-,django__django-14349,django,False,False,0.0,0.0,0.006423982869379015,1,1
null,-,django__django-14351,django,False,False,0.0,0.0,0.012738853503184714,1,3
null,-,django__django-14373,django,False,False,0.0,0.0,0.008602150537634409,1,1
null,-,django__django-14376,django,True,False,0.5,0.0,0.006423982869379015,2,3
null,-,django__django-14404,django,False,False,0.0,0.0,0.004291845493562232,1,1
null,-,django__django-14434,django,True,False,1.0,0.0,0.01276595744680851,1,1
null,-,django__django-14493,django,False,False,0.0,0.0,0.0021691973969631237,1,1
null,-,django__django-14500,django,True,False,1.0,0.0,0.014989293361884369,1,1
null,-,django__django-14534,django,False,False,0.0,0.0,0.008620689655172414,1,1
null,-,django__django-14539,django,False,False,0.0,0.0,0.0,1,1
null,-,django__django-14559,django,False,False,0.0,0.0,0.004291845493562232,1,1
null,-,django__django-14608,django,False,False,0.0,0.0,0.0021551724137931034,1,1
null,-,django__django-14631,django,False,False,0.0,0.0,0.03992015968063872,2,10
null,-,django__django-14672,django,False,False,0.0,,0.0021645021645021645,1,0
null,-,django__django-14725,django,True,False,1.0,0.0,0.010660980810234541,1,3
null,-,django__django-14752,django,False,False,0.0,0.0,0.02100840336134454,1,4
null,-,django__django-14765,django,False,True,0.0,1.0,0.004301075268817204,1,1
null,-,django__django-14771,django,False,False,0.0,0.0,0.010683760683760684,1,1
null,-,django__django-14787,django,False,False,0.0,0.0,0.008639308855291577,1,1
null,-,django__django-14792,django,False,False,0.0,0.0,0.017167381974248927,1,1
null,-,django__django-14855,django,False,False,0.0,0.0,0.00641025641025641,1,1
null,-,django__django-14915,django,True,False,1.0,,0.0064794816414686825,1,0
null,-,django__django-14999,django,True,False,1.0,0.0,0.014925373134328358,1,1
null,-,django__django-15022,django,False,False,0.0,0.0,0.002150537634408602,1,1
null,-,django__django-15037,django,False,False,0.0,0.0,0.006342494714587738,1,1
null,-,django__django-15098,django,False,False,0.0,,0.0,1,0
null,-,django__django-15103,django,False,False,0.0,0.0,0.014830508474576272,2,3
null,-,django__django-15104,django,False,False,0.0,0.0,0.004329004329004329,1,1
null,-,django__django-15127,django,False,False,0.0,0.0,0.014767932489451477,1,3
